"%1 indexer(s) have been rebuilt successfully in %2 seconds","%1 indexer(s) have been rebuilt successfully in %2 seconds"
"August Ash","August Ash"
"Couldn't reindex because of an error.","Couldn't reindex because of an error."
"Disable Compare,"Disable Compare"
"Disable Meta Keywords","Disable Meta Keywords"
"General Settings","General Settings"
"General","General"
"Hide Customer Links","Hide Customer Links"
"Please select indexers","Please select indexers"
"Reindex","Reindex"
"The selected links will be hidden from the customer account navigation menu.","The selected links will be hidden from the customer account navigation menu."
